Longitude,Slope,Intercept
32,0.721024592,1.560982011
31,0.721069973,1.560610505
30,0.723603279,1.561001425
29,0.725729196,1.561771981
28,0.727191629,1.561257059
27,0.726425722,1.55949391
26,0.726423759,1.558662853
25,0.726008928,1.555926085
24,0.724485421,1.553543739
23,0.724917157,1.554716303
22,0.725389798,1.555858464
21,0.726426672,1.557202718
20,0.727044806,1.558200402
19,0.727022851,1.558009116
18,0.726083369,1.55754866
17,0.726672185,1.558395611
16,0.725922768,1.557795486
15,0.724413857,1.557162129
14,0.725188442,1.557083113
13,0.724248819,1.556185666
12,0.723909529,1.55474904
11,0.724049919,1.554256203
10,0.72427256,1.554269541
9,0.724603293,1.55368422
8,0.727197227,1.553974742
7,0.727096624,1.553971638
6,0.726254136,1.553478969
5,0.725039285,1.55263948
4,0.723805238,1.551938089
3,0.723375793,1.551294312
2,0.723719352,1.55150637
1,0.723588894,1.551030909
0,0.72290201,1.550114326
